	id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	D1|D1	D1|D2	D1|D3	D1|D4	D2|D1	D2|D2	D2|D3	D2|D4	D3|D1	D3|D2	D3|D3	D3|D4	D4|D1	D4|D2	D4|D3	D4|D4
0	CPI-SS014958F32	LGALS9_CD47	simple:O00182	simple:Q08722	ENSG00000168961	ENSG00000196776	True	False	True	InnateDB-All	False	0.062				0.176												
1	CPI-SC08821B0D2	COL5A1_integrin_a11b1_complex	simple:P20908	complex:integrin_a11b1_complex	ENSG00000130635		True	False	False	curated	True	0.062																0.247
2	CPI-SC0FB1817EE	COL6A1_integrin_a11b1_complex	simple:P12109	complex:integrin_a11b1_complex	ENSG00000142156		True	False	False	curated	True	0.062								0.315								
3	CPI-SC09AE93F66	COL4A2_integrin_a11b1_complex	simple:P08572	complex:integrin_a11b1_complex	ENSG00000134871		True	False	False	curated	True	0.062																0.414
4	CPI-SC08AC51E15	TGFB1_integrin_aVb6_complex	simple:P01137	complex:integrin_aVb6_complex	ENSG00000105329		True	False	False	curated	True	0.062						0.146										
5	CPI-SC015ECCD97	COL1A2_integrin_a11b1_complex	simple:P08123	complex:integrin_a11b1_complex	ENSG00000164692		True	False	False	curated	True	0.062																0.791
6	CPI-SC0AE4F5BAB	FN1_integrin_a11b1_complex	simple:P02751	complex:integrin_a11b1_complex	ENSG00000115414		True	False	False	curated	True	0.062																0.607
7	CPI-SS0EE09A201	CDH2_CDH2	simple:P19022	simple:P19022	ENSG00000170558	ENSG00000170558	False	False	False	curated	False	0.062																0.1
8	CPI-SC0C351F7DF	COL4A1_integrin_a11b1_complex	simple:P02462	complex:integrin_a11b1_complex	ENSG00000187498		True	False	False	curated	True	0.062																0.204
9	CPI-SS052BBD9F9	CXCL1_ACKR1	simple:P09341	simple:Q16570	ENSG00000163739	ENSG00000213088	True	False	True	curated	False	0.062					0.192											
10	CPI-SC0C061DC28	COL3A1_integrin_a11b1_complex	simple:P02461	complex:integrin_a11b1_complex	ENSG00000168542		True	False	False	curated	True	0.062																0.868
11	CPI-SC0AD2341AF	COL1A1_integrin_a11b1_complex	simple:P02452	complex:integrin_a11b1_complex	ENSG00000108821		True	False	False	curated	True	0.062																1.017
12	CPI-SS08991B378	CD6_ALCAM	simple:P30203	simple:Q13740	ENSG00000013725	ENSG00000170017	True	False	False	curated	False	0.062				0.077												
13	CPI-SS085195142	TYRO3_GAS6	simple:Q06418	simple:Q14393	ENSG00000092445	ENSG00000183087	True	True	False	curated	False	0.062															0.181	
14	CPI-SS02A0FF87F	FAM3C_CLEC2D	simple:Q92520	simple:Q9UHP7	ENSG00000196937	ENSG00000069493	True	False	True	IMEx,InnateDB-All,IntAct	False	0.062															0.055	
15	CPI-SS0C17BB772	FCGR2A_CXCL9	simple:P12318	simple:Q07325	ENSG00000143226	ENSG00000138755	True	True	False	IMEx,IntAct	False	0.062													0.084			
16	CPI-SC0D0BFC9F7	COL5A3_integrin_a11b1_complex	simple:P25940	complex:integrin_a11b1_complex	ENSG00000080573		True	False	False	curated	True	0.062																0.069
17	CPI-SS0D5A3EC0A	LCN2_SLC22A17	simple:P80188	simple:Q8WUG5	ENSG00000148346	ENSG00000092096	True	False	True	curated	False	0.062								0.177								
18	CPI-SC04FF0CDA1	COL8A1_integrin_a11b1_complex	simple:P27658	complex:integrin_a11b1_complex	ENSG00000144810		True	False	False	curated	True	0.062																0.081
19	CPI-SC0519DE925	COL10A1_integrin_a11b1_complex	simple:Q03692	complex:integrin_a11b1_complex	ENSG00000123500		True	False	False	curated	True	0.062								0.046								
20	CPI-SC0713C9654	COL22A1_integrin_a1b1_complex	simple:Q8NFW1	complex:integrin_a1b1_complex	ENSG00000169436		True	False	False	curated	True	0.062					0.094											
21	CPI-SS0339AE950	SIRPA_CD47	simple:P78324	simple:Q08722	ENSG00000198053	ENSG00000196776	False	True	True	curated	False	0.062				0.11												
22	CPI-SC050F64BB5	COL27A1_integrin_a1b1_complex	simple:Q8IZC6	complex:integrin_a1b1_complex	ENSG00000196739		True	False	False	curated	True	0.062					0.094											
23	CPI-SC04FA882F7	COL10A1_integrin_a1b1_complex	simple:Q03692	complex:integrin_a1b1_complex	ENSG00000123500		True	False	False	curated	True	0.062					0.077											
24	CPI-SS02371A6D6	VEGFA_EPHB2	simple:P15692	simple:P29323	ENSG00000112715	ENSG00000133216	True	False	True	I2D	False	0.062								0.084								
25	CPI-SS0F21D6CA0	EPHB4_EFNB1	simple:P54760	simple:P98172	ENSG00000196411	ENSG00000090776	False	True	False	curated	False	0.062					0.142											
26	CPI-SS0111AAD26	EPHB2_EFNB1	simple:P29323	simple:P98172	ENSG00000133216	ENSG00000090776	False	True	False	curated	False	0.062													0.093			
27	CPI-SS036B08188	PLAU_PLAUR	simple:P00749	simple:Q03405	ENSG00000122861	ENSG00000011422	True	False	True	curated	False	0.062														0.163		
28	CPI-SC0F9FB6DCB	COL6A2_integrin_a1b1_complex	simple:P12110	complex:integrin_a1b1_complex	ENSG00000142173		True	False	False	curated	True	0.062													0.49			
29	CPI-SC0E53A238E	COL11A1_integrin_a1b1_complex	simple:P12107	complex:integrin_a1b1_complex	ENSG00000060718		True	False	False	curated	True	0.062													0.092			
30	CPI-SC037A0554C	COL5A2_integrin_a1b1_complex	simple:P05997	complex:integrin_a1b1_complex	ENSG00000204262		True	False	False	curated	True	0.062													0.143			
31	CPI-SS05A26A1DE	PDGFB_PDGFRB	simple:P01127	simple:P09619	ENSG00000100311	ENSG00000113721	True	False	True	curated	False	0.062														0.141		
32	CPI-SC015ED6B05	COL22A1_integrin_a11b1_complex	simple:Q8NFW1	complex:integrin_a11b1_complex	ENSG00000169436		True	False	False	curated	True	0.062								0.063								
33	CPI-SC0FC6454F5	COL27A1_integrin_a11b1_complex	simple:Q8IZC6	complex:integrin_a11b1_complex	ENSG00000196739		True	False	False	curated	True	0.062								0.063								
34	CPI-SC09DC9200A	ICAM3_integrin_aLb2_complex	simple:P32942	complex:integrin_aLb2_complex	ENSG00000076662		False	False	False	curated	True	0.062					0.117											
35	CPI-SC037038602	COL7A1_integrin_a11b1_complex	simple:Q02388	complex:integrin_a11b1_complex	ENSG00000114270		True	False	False	curated	True	0.062								0.198								
36	CPI-SS048346C2B	LGALS9_MRC2	simple:O00182	simple:Q9UBG0	ENSG00000168961	ENSG00000011028	True	False	True	InnateDB-All	False	0.062				0.217												
37	CPI-SC044916391	COL6A3_integrin_a11b1_complex	simple:P12111	complex:integrin_a11b1_complex	ENSG00000163359		True	False	False	curated	True	0.062																0.322
38	CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	ENSG00000182985	ENSG00000182985	False	False	False	curated	False	0.062						0.08										
39	CPI-SS002DF6C31	LGALS9_SLC1A5	simple:O00182	simple:Q15758	ENSG00000168961	ENSG00000105281	True	False	True	I2D,InnateDB-All	False	0.062				0.164												
40	CPI-SS08A54963F	EFNA2_EPHA2	simple:O43921	simple:P29317	ENSG00000099617	ENSG00000142627	False	False	True	curated	False	0.062										0.105						
41	CPI-SS0A9FB762A	LGALS9_PTPRK	simple:O00182	simple:Q15262	ENSG00000168961	ENSG00000152894	True	False	True	InnateDB-All	False	0.062		0.142														
42	CPI-SS0419B80C4	LGALS9_LRP1	simple:O00182	simple:Q07954	ENSG00000168961	ENSG00000123384	True	False	True	InnateDB-All	False	0.062		0.24														
43	CPI-SS0BD9F32BA	LGALS9_DAG1	simple:O00182	simple:Q14118	ENSG00000168961	ENSG00000173402	True	False	True	InnateDB-All	False	0.062				0.19												
44	CPI-SS0472C478C	BMP7_PTPRK	simple:P18075	simple:Q15262	ENSG00000101144	ENSG00000152894	True	False	True	InnateDB-All	False	0.062														0.075		
45	CPI-SC01633DC81	COL16A1_integrin_a11b1_complex	simple:Q07092	complex:integrin_a11b1_complex	ENSG00000084636		True	False	False	curated	True	0.125								0.138								0.143
46	CPI-SS0703338F5	LGALS9_CD44	simple:O00182	simple:P16070	ENSG00000168961	ENSG00000026508	True	False	True	InnateDB	False	0.125	0.153	0.166														
47	CPI-SS060B82BBC	JAG1_NOTCH2	simple:P78504	simple:Q04721	ENSG00000101384	ENSG00000134250	False	False	True	curated	False	0.125										0.147		0.139				
48	CPI-SC0A3722F1F	COL12A1_integrin_a11b1_complex	simple:Q99715	complex:integrin_a11b1_complex	ENSG00000111799		True	False	False	curated	True	0.125								0.091								0.09
49	CPI-SS0CE693E3E	LGALS9_P4HB	simple:O00182	simple:P07237	ENSG00000168961	ENSG00000185624	True	False	False	curated	False	0.125		0.492		0.511												
50	CPI-SC00EAD4C47	COL5A3_integrin_a1b1_complex	simple:P25940	complex:integrin_a1b1_complex	ENSG00000080573		True	False	False	curated	True	0.125					0.1								0.101			
51	CPI-SC03C27B368	TNC_integrin_aVb6_complex	simple:P24821	complex:integrin_aVb6_complex	ENSG00000041982		True	False	False	curated	True	0.125		0.094				0.09										
52	CPI-SC06C3BA86F	FN1_integrin_a5b1_complex	simple:P02751	complex:integrin_a5b1_complex	ENSG00000115414		True	False	False	curated	True	0.125														0.639		0.632
53	CPI-SC0FA241084	CSPG4_integrin_a3b1_complex	simple:Q6UVK1	complex:integrin_a3b1_complex	ENSG00000173546		False	False	False	curated	True	0.125	0.114	0.115														
54	CPI-SC0E83A4B71	COL12A1_integrin_a1b1_complex	simple:Q99715	complex:integrin_a1b1_complex	ENSG00000111799		True	False	False	curated	True	0.125					0.122								0.121			
